"Activity" "Subject No." "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
"LAYING" 1 0.22161 -0.04050126 -0.113142 -0.928 -0.83686 -0.8260136 -0.2489 0.70554 0.44582 -0.89682 -0.90767 -0.852376 0.081098 0.00383436 0.01084116 -0.9585 -0.92416 -0.9549 -0.0165536 -0.0644664 0.148698 -0.873506 -0.95108 -0.9082 -0.1072922 -0.0415226 -0.074056 -0.91862 -0.9679 -0.9578 -0.841908 -0.79514 -0.841908 -0.79514 -0.9544 -0.9283 -0.87474 -0.819008 -0.96348 -0.93586 -0.93918 -0.86706 -0.88264 -0.9245 -0.833648 -0.812832 -0.1588006 0.0975568 0.089496 -0.9571 -0.92242 -0.94804 -0.9642 -0.93222 -0.96062 0.1324298 0.0245476 0.024356 -0.8502584 -0.95214 -0.90932 -0.8823 -0.9512 -0.91662 -0.0035092 -0.0915162 0.0104664 -0.861736 -0.798348 0.086388 -0.93332 -0.92178 0.26634 -0.8622 -0.824388 -0.13977 -0.9424 -0.93264 0.176526 0.02131354 0.0031246 -0.0016556 0.084402 0.42672 -0.52034 -0.35237
"SITTING" 1 0.261302127659575 -0.00131929787234043 -0.104589361702128 -0.977255319148936 -0.922702127659574 -0.939510638297872 0.831553191489362 0.204463829787234 0.332021276595745 -0.968446808510638 -0.935468085106383 -0.949 0.0774702127659574 -0.000632978723404255 -0.00334040425531915 -0.986425531914894 -0.98136170212766 -0.987872340425532 -0.0453451063829787 -0.0919404255319149 0.0629255319148936 -0.977170212765957 -0.966489361702128 -0.941489361702128 -0.0936744680851064 -0.0402063829787234 -0.046711914893617 -0.991702127659574 -0.989553191489362 -0.987914893617021 -0.948553191489362 -0.927106382978723 -0.948553191489362 -0.927106382978723 -0.98731914893617 -0.984127659574468 -0.930893617021277 -0.934553191489362 -0.991936170212766 -0.988255319148936 -0.979595744680851 -0.944148936170213 -0.959191489361702 -0.97636170212766 -0.917276595744681 -0.934531914893617 -0.0495336170212766 0.0760042553191489 0.238863829787234 -0.98663829787234 -0.98168085106383 -0.986042553191489 -0.987446808510638 -0.982531914893617 -0.98836170212766 0.256640212765957 0.0475565957446809 0.0923851063829787 -0.976191489361702 -0.975808510638298 -0.951340425531915 -0.977936170212766 -0.96236170212766 -0.943936170212766 0.189176489361702 0.0631148936170213 -0.0298148936170213 -0.947829787234043 -0.928446808510638 0.236672340425532 -0.98531914893617 -0.981617021276596 0.351878723404255 -0.958468085106383 -0.932234042553191 -0.000204893617021276 -0.989851063829787 -0.987021276595745 0.184742553191489 0.0274206382978723 0.0296553191489362 0.0677234042553192 -0.0648985106382979 -0.591212765957447 -0.0604729787234043 -0.218063829787234
"STANDING" 1 0.278924528301887 -0.0161379245283019 -0.110537735849057 -0.995754716981132 -0.973207547169811 -0.979754716981132 0.942962264150943 -0.272924528301887 0.0134781132075472 -0.993679245283019 -0.98122641509434 -0.976320754716981 0.0753792452830189 0.00797905660377358 -0.00368366037735849 -0.994566037735849 -0.985660377358491 -0.992283018867924 -0.0239875094339623 -0.0593981132075472 0.0748207547169811 -0.98722641509434 -0.987735849056604 -0.980679245283019 -0.0995811320754717 -0.0440584905660377 -0.0489462264150943 -0.992962264150943 -0.995169811320755 -0.992094339622641 -0.984339622641509 -0.982018867924528 -0.984339622641509 -0.982018867924528 -0.992301886792453 -0.993056603773585 -0.976452830188679 -0.978622641509434 -0.994943396226415 -0.994792452830189 -0.995264150943396 -0.977056603773585 -0.985358490566038 -0.995924528301887 -0.972264150943396 -0.977962264150943 0.0864896603773585 0.11748641509434 0.244905660377359 -0.994679245283019 -0.985396226415094 -0.990754716981132 -0.995018867924528 -0.986905660377358 -0.992320754716981 0.314133962264151 0.0391647169811321 0.13858379245283 -0.986339622641509 -0.988962264150943 -0.980735849056604 -0.987509433962264 -0.987094339622641 -0.982358490566038 -0.120283018867925 -0.0447469811320755 0.10059641509434 -0.985396226415094 -0.982339622641509 0.284581132075472 -0.992490566037736 -0.992584905660377 0.42222641509434 -0.984547169811321 -0.978471698113208 -0.0286599056603774 -0.994830188679245 -0.994660377358491 0.334469811320755 -0.000281698113207547 0.0219794339622641 -0.0337888679245283 -0.0278833962264151 -0.743471698113208 0.270188679245283 0.0122490566037736
"WALKING" 1 0.277347368421053 -0.0173852526315789 -0.111134736842105 -0.283747368421053 0.114435473684211 -0.260031578947368 0.935189473684211 -0.282105263157895 -0.06812 -0.976589473684211 -0.971273684210526 -0.947726315789474 0.0740662105263158 0.0282884210526316 -0.00411536842105263 -0.113594 0.0669969473684211 -0.502726315789474 -0.0418129052631579 -0.0695196842105263 0.0849481052631579 -0.473515789473684 -0.0546289789473684 -0.344252631578947 -0.0899709473684211 -0.0398431578947368 -0.0461752631578947 -0.207382105263158 -0.304452631578947 -0.404242105263158 -0.136956736842105 -0.219686315789474 -0.136956736842105 -0.219686315789474 -0.141447368421053 -0.0744989263157895 -0.160994736842105 -0.186945263157895 -0.298683157894737 -0.325372631578947 -0.202763157894737 0.0897069473684211 -0.331547368421053 -0.319136842105263 0.0560300315789474 -0.279688421052632 -0.207501052631579 0.113079578947368 0.0496983368421053 -0.170527336842105 -0.0352243284210526 -0.469031578947368 -0.133578947368421 0.106751052631579 -0.534694736842105 -0.209258105263158 -0.38622 -0.185500105263158 -0.339038947368421 -0.103032947368421 -0.255976842105263 -0.516694736842105 -0.0335391578947368 -0.436589473684211 0.0148115789473684 -0.0657588421052632 0.000774947368421053 -0.128630842105263 -0.398 0.190666315789474 -0.0571388105263158 -0.103472947368421 0.0938187789473684 -0.199222315789474 -0.321021052631579 0.268811894736842 -0.31928 -0.381631578947368 0.190641894736842 0.0604223157894737 -0.00788105263157894 0.0130294736842105 -0.0186757894736842 -0.729221052631579 0.276905263157895 0.0688663157894737
"WALKING_DOWNSTAIRS" 1 0.289163265306122 -0.00991983673469388 -0.10749387755102 0.0300588632653061 -0.0319091836734694 -0.230459183673469 0.931857142857143 -0.266612244897959 -0.0621061224489796 -0.950673469387755 -0.937 -0.895938775510204 0.0541714285714286 0.0296714285714286 -0.0109659183673469 -0.0122773469387755 -0.10161612244898 -0.345704081632653 -0.0350335102040816 -0.0909408163265306 0.0900484897959184 -0.4581 -0.126321632653061 -0.124677551020408 -0.0739921020408163 -0.0439848979591837 -0.0270542857142857 -0.486959183673469 -0.238830612244898 -0.268721632653061 0.0271850816326531 0.0198661224489796 0.0271850816326531 0.0198661224489796 -0.0894238775510204 -0.0257514285714286 -0.075745306122449 -0.225712244897959 -0.295540816326531 -0.306522448979592 0.0382116326530612 0.00152348979591837 -0.225577551020408 0.0243173469387755 -0.112939591836735 -0.297897959183673 -0.307392244897959 0.0632375510204082 0.294329979591837 -0.0276857142857143 -0.128661224489796 -0.288408163265306 -0.0863175714285714 -0.134527959183673 -0.401714285714286 -0.253167346938776 -0.337602040816327 0.0094 -0.352421632653061 -0.0556714285714286 -0.0318797959183673 -0.495422448979592 -0.181467755102041 -0.23845306122449 -0.100481632653061 0.0825185714285714 -0.0756881632653061 0.0965979591836735 -0.186573469387755 0.119189897959184 0.026264693877551 -0.103971224489796 0.0765287755102041 -0.18569612244898 -0.39829387755102 0.349665306122449 -0.281960612244898 -0.391965306122449 0.189947448979592 -0.00268038775510204 0.0900040816326531 0.0633489795918367 -0.0400489795918367 -0.744489795918367 0.267244897959184 0.0650204081632653
"WALKING_UPSTAIRS" 1 0.255433962264151 -0.0239588867924528 -0.0973716981132075 -0.354716981132075 -0.00230547169811321 -0.0194990566037736 0.893396226415094 -0.36211320754717 -0.0753830188679245 -0.956301886792453 -0.95288679245283 -0.912358490566038 0.101424905660377 0.0194288679245283 -0.0455284905660377 -0.446905660377359 -0.378301886792453 -0.706622641509434 0.0505528301886792 -0.166191509433962 0.0583298113207547 -0.544811320754717 0.00409377358490566 -0.507188679245283 -0.122262264150943 -0.0421547169811321 -0.0406995660377358 -0.614792452830189 -0.601698113207547 -0.606358490566038 -0.129994339622642 -0.325 -0.129994339622642 -0.325 -0.466490566037736 -0.479018867924528 -0.126791509433962 -0.148654150943396 -0.594905660377358 -0.648528301886792 -0.404339622641509 -0.190981698113208 -0.433358490566038 -0.337490566037736 0.0217484905660377 0.0860209433962264 -0.418705660377359 -0.160710943396226 -0.52011320754717 -0.479943396226415 -0.413490566037736 -0.685452830188679 -0.461811320754717 -0.381698113207547 -0.726037735849057 -0.377037735849057 -0.509452830188679 -0.551056603773585 -0.492566037735849 -0.319452830188679 -0.453603773584906 -0.565867924528302 0.151559622641509 -0.571735849056604 -0.187453773584906 -0.473509433962264 -0.133367924528302 -0.352490566037736 -0.416264150943396 -0.097708679245283 -0.442698113207547 -0.533075471698113 0.0853664150943396 -0.325992452830189 -0.182975471698113 -0.219314339622642 -0.634641509433962 -0.693943396226415 0.114256603773585 0.0961288679245283 -0.0610622641509434 -0.194684905660377 0.0656471698113208 -0.647169811320755 0.33477358490566 0.0741811320754717
"LAYING" 2 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.509754238125 0.752536639375 0.646834879583333 -0.959014441458333 -0.988211865208333 -0.984230418125 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.98587216875 -0.98317254125 -0.988442014375 -0.01847660675 -0.111800824583333 0.144882846104167 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.981025105625 -0.984792185 -0.146482792591667 0.2572894655 0.402532553395833 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.987250255833333 -0.984987392916667 -0.989345368541667 0.159808328563875 0.1212064240125 0.190558218145833 -0.9864311425 -0.983321635416667 -0.9626718875 -0.988860685833333 -0.981910616458333 -0.963174222291667 0.10261131938125 0.04228066839375 0.0552985986479167 -0.975110196458333 -0.975121387916667 0.2662982125 -0.985374114791667 -0.984568489166667 0.3417585745 -0.972112972708333 -0.96109837875 0.01856447223125 -0.990248702291667 -0.989492660416667 0.264801505395833 0.005791809625 -0.00635557646875 0.0652860108125 -0.0293710088554167 0.617423415625 -0.519732551458333 -0.478928233958333
"SITTING" 2 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913 0.940477273043478 -0.105630024498783 0.19872676876087 -0.979988760869565 -0.956750273043478 -0.954415873043478 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.988055854130435 -0.977983955434783 -0.98751821173913 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.985742027826087 -0.978919526956522 -0.959803708695652 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.989709023043478 -0.990889614782609 -0.985542325652174 -0.967893623913043 -0.953081444130435 -0.967893623913043 -0.953081444130435 -0.986774713043478 -0.984475868043478 -0.946035087173913 -0.961313624130435 -0.991081493913043 -0.989594919565217 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.98736209 -0.950073754130435 -0.956862864130435 0.08519282071 0.150193956163043 0.0960646759586957 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.989459107391304 -0.980804228478261 -0.988570804130435 0.305546818084783 0.0262448647134783 0.0929030630369565 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.986808501521739 -0.977356188695652 -0.963522659782609 0.130523120891304 -0.192142737913043 0.0409472348676087 -0.96127374826087 -0.955575602173913 0.130934202854348 -0.983874698913043 -0.984124185869565 0.280062423956522 -0.971840596086956 -0.961385745217391 -0.106358909173913 -0.989861950869565 -0.989632908913043 0.1947221493 0.0395284311165435 -0.00339286689565217 0.0209731695434783 -0.0762041966043478 -0.774436094565217 0.155857278304348 -0.118224398621739
"STANDING" 2 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 0.896928566851852 -0.370062696851852 0.129747161222222 -0.986685818703704 -0.97419442037037 -0.945927078703704 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.981085715555556 -0.97105943962963 -0.982841446481482 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.979324000740741 -0.983447258518519 -0.973610118333333 -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518518 0.108519182924074 0.0623378066683333 0.104462499601852 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.983007923703704 -0.973520241111111 -0.984599905185185 0.331449281481482 -0.0569368291814815 0.0396498183462963 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.97103605037037 -0.969754295740741 -0.107416045074074 -0.171160370096296 0.000226810610740739 -0.964052166481482 -0.960519381481482 0.119649963903704 -0.977065295555556 -0.97516046 0.304871865218519 -0.961775904814815 -0.956788725740741 -0.0661266045796296 -0.977849827407407 -0.977754298148148 0.160662823925926 -0.013681915312963 0.0411822244577778 -0.0151035161722222 0.11232464912963 -0.627180076111111 0.337937911666667 -0.0678959805833333
"WALKING" 2 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.14579548970339 0.198586466508475 0.0688995208186441 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.0153329520084746 -0.615898188474576 -0.0727101584479661 -0.263574018186441 -0.254846438755932 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.533046952542373 -0.559856635084746 0.00727967988474576 -0.0427009322372881 0.139752115269492 -0.324289427932203 -0.577105211694915 0.393206208305085 -0.169064352813559 -0.164091969449153 0.20750092670339 -0.530704814745763 -0.651792839661017 0.305283825254237 -0.583249293389831 -0.558104554745763 0.126344614439492 -0.0301017378813559 0.0534005800847458 0.0216196774508475 -0.0858470827457627 -0.66195998 0.321443011864407 -0.0368892833067797
"WALKING_DOWNSTAIRS" 2 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.0463666814446808 0.262881788951064 -0.10283790806383 0.861831345531915 -0.325780100638298 -0.0438890162723404 -0.940361759574468 -0.940068525531915 -0.931438313191489 0.110040615569574 -0.00327959081489362 -0.0209351677765957 0.147249143238298 0.126828014557447 -0.340122023191489 -0.11594735287234 -0.00482329231914894 0.097173808906383 -0.320789230008511 -0.415739144893617 -0.279418388042553 -0.0581038498510638 -0.0421470257531915 -0.0710229816893617 -0.243940592553192 -0.469396701106383 -0.218266318606383 0.0899511204978723 0.215586334889362 0.0899511204978723 0.215586334889362 0.00565516335106383 0.22961718512766 -0.162188586930426 -0.274844110531915 -0.410872671489362 -0.343187875404255 0.112841160325532 0.278345041765957 -0.131290772 0.0161046198595745 0.171973972957447 -0.162032894287234 -0.273711609659574 0.0119309606468085 0.0903678546504255 0.138120681087234 0.0962091607617021 -0.271498721106383 0.0499590624829787 0.0808333491276596 -0.408227423191489 -0.143898149531915 -0.357514501744681 -0.234703932446809 -0.145775970406383 -0.361913824 -0.0874944736085106 -0.379436674361702 -0.458732747446809 -0.422987665106383 -0.0375298023191489 0.0770894557234043 0.1367749584 0.293424826591489 -0.0214787881723404 0.0938321297617021 0.222247409576596 0.227480732542553 0.0188355111404255 -0.320838543553191 -0.372576755361702 0.103971241706383 -0.380175306489362 -0.343698985425532 -0.0512479640553192 -0.0243291092914894 -0.00637550521276596 0.366551180212766 -0.073580298587234 -0.624985569787234 0.311800312978723 0.0537293985574468
"WALKING_UPSTAIRS" 2 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.304376406458333 0.108027279889583 -0.112121021220833 0.790717418541667 -0.416214890416667 -0.195888238891667 -0.934407739791667 -0.92376745375 -0.878004056875 0.0744507839572917 -0.00970985514333333 0.01948143925 -0.276121886479167 -0.185648954220833 -0.5737463525 -0.0576912634583333 -0.0320883097395833 0.0688374021666667 -0.439253058958333 -0.466298336666667 -0.163995791679167 -0.0828858001333333 -0.0424053708458333 -0.0445157481625 -0.464854363125 -0.645491337708333 -0.467595961041667 -0.107322679520833 -0.205977045295833 -0.107322679520833 -0.205977045295833 -0.321268911041667 -0.21738939458125 -0.219713472958333 -0.377532167604167 -0.572816438541667 -0.597291719166667 -0.266720933270833 0.00992445881854167 -0.281001986202083 -0.320582414375 0.0848802791083333 -0.09454497643125 -0.281748011416667 -0.0618894458958333 -0.236589092316958 -0.258639439729167 -0.1878421317125 -0.522728063333333 -0.365415441458333 -0.243554146666667 -0.625090981458333 -0.0491142923541667 -0.287688885375 -0.374218484791667 -0.331643577458333 -0.488086123958333 -0.248601122 -0.476358845625 -0.459758488958333 -0.218072471479167 -0.115324433733333 -0.130357850675 -0.0773418117291667 -0.14531853915625 -0.36672824375 0.107680395229167 -0.189511136902083 -0.2604238389625 -0.0119168233583333 -0.450612184791667 -0.438620401875 -0.022752769044375 -0.60079849625 -0.621820202916667 0.0467433991041667 0.0946511080666667 -0.00775466904166667 0.01538156125 -0.081031303125 -0.477698945416667 0.373749042708333 0.165147457953125
"LAYING" 3 0.2755 -0.018951935483871 -0.101336935483871 -0.982774193548387 -0.962096774193548 -0.963677419354839 -0.241758064516129 0.837048387096774 0.488741935483871 -0.982548387096774 -0.981225806451613 -0.964790322580645 0.0769903225806452 0.0137851774193548 -0.00434978177419355 -0.980870967741935 -0.968774193548387 -0.982032258064516 -0.0208075 -0.0718551612903226 0.137977419354839 -0.97458064516129 -0.977274193548387 -0.9635 -0.100048387096774 -0.0389790322580645 -0.0687612903225806 -0.980338709677419 -0.986790322580645 -0.983354838709677 -0.972806451612903 -0.964225806451613 -0.972806451612903 -0.964225806451613 -0.979483870967742 -0.976112903225806 -0.95158064516129 -0.954241935483871 -0.986677419354839 -0.983145161290323 -0.980645161290323 -0.961209677419355 -0.968322580645161 -0.983661290322581 -0.964129032258064 -0.963306451612903 -0.0739112903225806 0.238406290322581 0.216986612903226 -0.9805 -0.968774193548387 -0.97908064516129 -0.983129032258064 -0.971048387096774 -0.983709677419355 0.175909032258065 -0.0131983870967742 0.0447804838709677 -0.970193548387097 -0.978096774193548 -0.962290322580645 -0.976016129032258 -0.977016129032258 -0.967209677419355 -0.0822091935483871 -0.0266662903225806 0.147652725806452 -0.965532258064516 -0.968306451612903 0.236961290322581 -0.976 -0.975306451612903 0.23861564516129 -0.964564516129032 -0.955467741935484 -0.022858064516129 -0.984258064516129 -0.982564516129032 0.110720483870968 0.01791285 0.0166681129032258 0.045613064516129 0.0317409677419355 0.423451612903226 -0.630032258064516 -0.346306451612903
"SITTING" 3 0.257280769230769 -0.00350942307692308 -0.0983076923076923 -0.971038461538462 -0.856634615384615 -0.875153846153846 0.901057692307692 0.127326538461538 0.139023076923077 -0.957307692307692 -0.903903846153846 -0.897769230769231 0.0726111538461539 0.00273396153846154 -0.00425113461538461 -0.974461538461538 -0.953653846153846 -0.974711538461538 -0.0385211538461538 -0.0752246153846154 0.0940361538461539 -0.965403846153846 -0.944865384615385 -0.926326923076923 -0.103582692307692 -0.0360894230769231 -0.0589991153846154 -0.972519230769231 -0.978653846153846 -0.973711538461538 -0.895461538461538 -0.870346153846154 -0.895461538461538 -0.870346153846154 -0.969057692307692 -0.966576923076923 -0.919384615384615 -0.925513461538461 -0.978038461538462 -0.976711538461538 -0.970192307692308 -0.891846153846154 -0.918 -0.971634615384615 -0.849711538461538 -0.864307692307692 0.0313096153846154 -0.00668903846153846 0.0477942307692308 -0.974942307692308 -0.954211538461538 -0.970788461538462 -0.976230769230769 -0.956538461538462 -0.977173076923077 0.215680769230769 -0.0958957692307692 -0.0437004230769231 -0.957576923076923 -0.956153846153846 -0.935057692307692 -0.967961538461538 -0.939596153846154 -0.930596153846154 0.0521159615384615 -0.165995384615385 -0.0387369230769231 -0.904134615384615 -0.874519230769231 0.0281632692307692 -0.965884615384615 -0.966538461538462 0.286808653846154 -0.946538461538462 -0.9254 -0.115563461538462 -0.977846153846154 -0.976673076923077 0.08719 0.0327307692307692 0.00407007692307692 0.0643423076923077 -0.0252359615384615 -0.759826923076923 -0.00634230769230769 -0.0783769230769231
"STANDING" 3 0.279967213114754 -0.0143322950819672 -0.101619149180328 -0.966819672131148 -0.893360655737705 -0.911360655737705 0.935098360655738 -0.301770491803279 0.0247375409836066 -0.982032786885246 -0.957426229508197 -0.928163934426229 0.0750773114754098 0.00769737704918033 -0.00808213114754098 -0.957114754098361 -0.941672131147541 -0.973016393442623 -0.0246547540983607 -0.05853 0.0665475409836066 -0.900409836065574 -0.927803278688525 -0.912377049180328 -0.0994606557377049 -0.0472445901639344 -0.0416777049180328 -0.940918032786885 -0.968426229508197 -0.958295081967213 -0.925409836065574 -0.915163934426229 -0.925409836065574 -0.915163934426229 -0.959262295081967 -0.948754098360656 -0.892098360655738 -0.882114754098361 -0.962377049180328 -0.957672131147541 -0.960163934426229 -0.908032786885246 -0.939508196721311 -0.969950819672131 -0.892508196721311 -0.904786885245902 -0.0870488524590164 -0.128180327868852 0.00779508196721312 -0.957704918032787 -0.943540983606557 -0.96916393442623 -0.960524590163934 -0.943934426229508 -0.97555737704918 0.0749480983606557 -0.258125245901639 -0.112350983606557 -0.901262295081967 -0.937754098360656 -0.916180327868853 -0.901983606557377 -0.923114754098361 -0.919786885245902 -0.297115409836066 -0.315996229508197 -0.22910931147541 -0.926967213114754 -0.921836065573771 -0.000338360655737706 -0.948639344262295 -0.948196721311475 0.129786393442623 -0.91372131147541 -0.883426229508197 -0.309788196721311 -0.960327868852459 -0.957081967213115 -0.0206380327868852 0.00771901639344262 0.0246588524590164 0.00977868852459017 -0.0505218032786885 -0.711868852459016 0.289852459016393 0.00457622950819672
"WALKING" 3 0.275568965517241 -0.0171718793103448 -0.112664482758621 -0.360396551724138 -0.0699189655172414 -0.387396551724138 0.9365 -0.262051724137931 -0.138143103448276 -0.977758620689655 -0.962275862068966 -0.952103448275862 0.0814930862068965 0.0100679310344828 -0.00557413793103448 -0.268655172413793 -0.0449956896551724 -0.52951724137931 -0.0256460344827586 -0.0779068965517241 0.0813481034482759 -0.571913793103448 -0.563758620689655 -0.476724137931034 -0.0952725862068965 -0.0387791379310345 -0.0503749827586207 -0.385844827586207 -0.63901724137931 -0.536637931034483 -0.254637931034483 -0.328362068965517 -0.254637931034483 -0.328362068965517 -0.28001724137931 -0.139900689655172 -0.466413793103448 -0.561534482758621 -0.566120689655172 -0.567362068965517 -0.31655 -0.0813051724137931 -0.412396551724138 -0.379293103448276 -0.123969310344828 -0.423 -0.246595 0.171762068965517 0.074862724137931 -0.304755172413793 -0.140527068965517 -0.514103448275862 -0.296637931034483 -0.00557258620689655 -0.5435 -0.216029310344828 -0.25865 -0.34693275862069 -0.437775862068966 -0.561431034482759 -0.418172413793103 -0.615206896551724 -0.568879310344828 -0.545862068965517 0.0337639655172414 -0.0380146551724138 -0.0445394827586207 -0.290086206896552 -0.456362068965517 0.113548793103448 -0.18675 -0.0898730344827586 -0.117162413793103 -0.569724137931034 -0.632689655172414 0.180984482758621 -0.607724137931035 -0.549120689655172 0.0457965517241379 0.0527631034482759 -0.0763241379310345 0.0968206896551724 -0.0367355172413793 -0.722810344827586 0.2625 0.117362068965517
